,Unnamed: 0,DynFlow,DynFlow.1,DynFlow.2,DynFlow.3,DynFlow.4,DynFlow.5,DynFlow.6,DynFlow.7,DynFlow.8,DynFlow.9,DynFlow.10,DynFlow.11,DynFlow.12,DynFlow.13,DynFlow.14,DynFlow.15,DynFlow.16,DynFlow.17,DynFlow.18,DynFlow.19,DynFlow.20,DynFlow.21,DynFlow.22,DynFlow.23,DynFlow.24,DynFlow.25,DynFlow.26,DynFlow.27,DynFlow.28,DynFlow.29,DynFlow.30,DynFlow.31,DynFlow.32,DynFlow.33,DynFlow.34,DynFlow.35,DynFlow.36,DynFlow.37,DynFlow.38,DynFlow.39,DynFlow.40,DynFlow.41,DynFlow.42,DynFlow.43,DynFlow.44,DynFlow.45,DynFlow.46,DynFlow.47,DynFlow.48,DynFlow.49,DynFlow.50,DynFlow.51,DynFlow.52,DynFlow.53,DynFlow.54,DynFlow.55,DynFlow.56,DynFlow.57,DynFlow.58,DynFlow.59,DynFlow.60,DynFlow.61,DynFlow.62,DynFlow.63,DynFlow.64,DynFlow.65,DynFlow.66,CellOracle,CellOracle.1,CellOracle.2,CellOracle.3,CellOracle.4,CellOracle.5,CellOracle.6,CellOracle.7,CellOracle.8,CellOracle.9,CellOracle.10,CellOracle.11,CellOracle.12,CellOracle.13,CellOracle.14,CellOracle.15,CellOracle.16,CellOracle.17,CellOracle.18,CellOracle.19,CellOracle.20,CellOracle.21,CellOracle.22,CellOracle.23,CellOracle.24,CellOracle.25,CellOracle.26,CellOracle.27,CellOracle.28,CellOracle.29,CellOracle.30,CellOracle.31,CellOracle.32,CellOracle.33,CellOracle.34,CellOracle.35,CellOracle.36,CellOracle.37,CellOracle.38,CellOracle.39,CellOracle.40,CellOracle.41,CellOracle.42,CellOracle.43,CellOracle.44,CellOracle.45,CellOracle.46,CellOracle.47,CellOracle.48,CellOracle.49,CellOracle.50,CellOracle.51,CellOracle.52,CellOracle.53,CellOracle.54,CellOracle.55,CellOracle.56,CellOracle.57,CellOracle.58,CellOracle.59,CellOracle.60,CellOracle.61,CellOracle.62,CellOracle.63,CellOracle.64,CellOracle.65,CellOracle.66,Dynamo,Dynamo.1,Dynamo.2,Dynamo.3,Dynamo.4,Dynamo.5,Dynamo.6,Dynamo.7,Dynamo.8,Dynamo.9,Dynamo.10,Dynamo.11,Dynamo.12,Dynamo.13,Dynamo.14,Dynamo.15,Dynamo.16,Dynamo.17,Dynamo.18,Dynamo.19,Dynamo.20,Dynamo.21,Dynamo.22,Dynamo.23,Dynamo.24,Dynamo.25,Dynamo.26,Dynamo.27,Dynamo.28,Dynamo.29,Dynamo.30,Dynamo.31,Dynamo.32,Dynamo.33,Dynamo.34,Dynamo.35,Dynamo.36,Dynamo.37,Dynamo.38,Dynamo.39,Dynamo.40,Dynamo.41,Dynamo.42,Dynamo.43,Dynamo.44,Dynamo.45,Dynamo.46,Dynamo.47,Dynamo.48,Dynamo.49,Dynamo.50,Dynamo.51,Dynamo.52,Dynamo.53,Dynamo.54,Dynamo.55,Dynamo.56,Dynamo.57,Dynamo.58,Dynamo.59,Dynamo.60,Dynamo.61,Dynamo.62,Dynamo.63,Dynamo.64,Dynamo.65,Dynamo.66,Random,Random.1,Random.2,Random.3,Random.4,Random.5,Random.6,Random.7,Random.8,Random.9,Random.10,Random.11,Random.12,Random.13,Random.14,Random.15,Random.16,Random.17,Random.18,Random.19,Random.20,Random.21,Random.22,Random.23,Random.24,Random.25,Random.26,Random.27,Random.28,Random.29,Random.30,Random.31,Random.32,Random.33,Random.34,Random.35,Random.36,Random.37,Random.38,Random.39,Random.40,Random.41,Random.42,Random.43,Random.44,Random.45,Random.46,Random.47,Random.48,Random.49,Random.50,Random.51,Random.52,Random.53,Random.54,Random.55,Random.56,Random.57,Random.58,Random.59,Random.60,Random.61,Random.62,Random.63,Random.64,Random.65,Random.66
0,Macrophages,0.753924058,0.556741636,0.654992063,0.749695671,0.668745624,0.645329079,0.705876331,0.730761604,0.793049104,0.694020744,0.607338731,0.761582843,0.851112056,0.704373908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62204253,0.638367756,0.589547619,0.564769239,0.723838969,0.729646472,0.755232505,0.634817485,0.668961513,0.567876754,0.620222861,0.714913373,0.749185437,0.737833704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.715188412,0.674024383,0.674706349,0.739097068,0.656948384,0.686054472,0.697379197,0.713483551,0.732913072,0.721247712,0.689344476,0.693799832,0.674788686,0.782079294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.568267067,0.511328843,0.470531746,0.5490235,0.493798735,0.474267762,0.595754846,0.512924741,0.54136253,0.500953325,0.664011491,0.508857864,0.528309014,0.450738916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pre-B_cells,0.605834543,0.676781394,0.664195815,0.59932333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6895791,0.601221339,0.646690732,0.583342159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653923561,0.592299969,0.630617327,0.622765519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.455897436,0.507637483,0.476115101,0.513150927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B_cells,0.684948117,0.692555881,0.68055252,0.682523077,0.788378902,0.67297528,0.683867458,0.66485652,0.744010045,0.6716093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61783715,0.627719812,0.771939411,0.720379487,0.657907163,0.680733163,0.675070316,0.687825233,0.831263151,0.583253898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721643845,0.691903126,0.673647292,0.660410256,0.612386079,0.638080776,0.664028551,0.707738648,0.828548157,0.629267432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478998923,0.483013106,0.498398861,0.460512821,0.353827265,0.491341645,0.496065067,0.518742038,0.544831331,0.535110327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Natural_killer_cells,0.659666044,0.710776847,0.691502463,0.741853916,0.782189642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567620826,0.691125603,0.698116955,0.579345371,0.599402701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.706609106,0.740590886,0.67173844,0.687922337,0.691712482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447236051,0.5051885,0.447203242,0.467856927,0.596280459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cerebellum,0.623402778,0.61302191,0.5834252,0.60329105,0.604561423,0.5970252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477774621,0.6159074,0.598435303,0.63115412,0.569412228,0.640862411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571590909,0.637732534,0.56316844,0.517807774,0.576440341,0.576166251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487039141,0.480208764,0.495793704,0.476039464,0.483370867,0.514266702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CD4+_T_cells,0.73101238,0.720066166,0.773331976,0.616425121,0.667227414,0.593409942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.660593555,0.757719388,0.681378538,0.612360248,0.627339564,0.654653086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.660615506,0.686749799,0.758840698,0.649482402,0.620548287,0.664838513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512951093,0.55838317,0.62848707,0.502622498,0.535302181,0.493209715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mast_Cells,0.646452846,0.67472689,0.63964607,0.647595802,0.774192511,0.634086744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669101148,0.614154946,0.653431752,0.558465286,0.70708403,0.634867305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.681306233,0.641065045,0.670158938,0.498126113,0.686848539,0.650919704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.498423306,0.518107106,0.4893361,0.520519067,0.434628748,0.466435892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Heart,0.633312996,0.626665563,0.561502777,0.582621416,0.629326142,0.570480837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56154159,0.533828519,0.567083341,0.597425395,0.590867936,0.595383819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512182225,0.628858727,0.565597781,0.58370392,0.605562415,0.557438001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.490190496,0.537380342,0.500681504,0.43651258,0.487839799,0.512440404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Hepatocytes,0.608208753,0.526299937,0.680823035,0.647480386,0.59168465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.573637742,0.614600507,0.64999059,0.62942064,0.626427852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564700466,0.584173536,0.616335236,0.597344599,0.51611279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500027083,0.513189601,0.63857349,0.504828002,0.497295353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Dendritic_Cells,0.73976757,0.702189059,0.69244098,0.741699024,0.748492173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581880646,0.538486313,0.677000131,0.547138658,0.568860487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.764770751,0.749649586,0.697129022,0.712613855,0.674461089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.559443525,0.551747949,0.492849259,0.538538302,0.522027206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,overall,0.753924058,0.605834543,0.684948117,0.659666044,0.623402778,0.73101238,0.646452846,0.633312996,0.608208753,0.73976757,0.556741636,0.676781394,0.692555881,0.710776847,0.61302191,0.720066166,0.67472689,0.626665563,0.526299937,0.702189059,0.654992063,0.664195815,0.68055252,0.691502463,0.5834252,0.773331976,0.63964607,0.561502777,0.680823035,0.69244098,0.749695671,0.59932333,0.682523077,0.741853916,0.60329105,0.616425121,0.647595802,0.582621416,0.647480386,0.741699024,0.668745624,0.788378902,0.782189642,0.604561423,0.667227414,0.774192511,0.629326142,0.59168465,0.748492173,0.645329079,0.67297528,0.5970252,0.593409942,0.634086744,0.570480837,0.705876331,0.683867458,0.730761604,0.66485652,0.793049104,0.744010045,0.694020744,0.6716093,0.607338731,0.761582843,0.851112056,0.704373908,0.62204253,0.6895791,0.61783715,0.567620826,0.477774621,0.660593555,0.669101148,0.56154159,0.573637742,0.581880646,0.638367756,0.601221339,0.627719812,0.691125603,0.6159074,0.757719388,0.614154946,0.533828519,0.614600507,0.538486313,0.589547619,0.646690732,0.771939411,0.698116955,0.598435303,0.681378538,0.653431752,0.567083341,0.64999059,0.677000131,0.564769239,0.583342159,0.720379487,0.579345371,0.63115412,0.612360248,0.558465286,0.597425395,0.62942064,0.547138658,0.723838969,0.657907163,0.599402701,0.569412228,0.627339564,0.70708403,0.590867936,0.626427852,0.568860487,0.729646472,0.680733163,0.640862411,0.654653086,0.634867305,0.595383819,0.755232505,0.675070316,0.634817485,0.687825233,0.668961513,0.831263151,0.567876754,0.583253898,0.620222861,0.714913373,0.749185437,0.737833704,0.715188412,0.653923561,0.721643845,0.706609106,0.571590909,0.660615506,0.681306233,0.512182225,0.564700466,0.764770751,0.674024383,0.592299969,0.691903126,0.740590886,0.637732534,0.686749799,0.641065045,0.628858727,0.584173536,0.749649586,0.674706349,0.630617327,0.673647292,0.67173844,0.56316844,0.758840698,0.670158938,0.565597781,0.616335236,0.697129022,0.739097068,0.622765519,0.660410256,0.687922337,0.517807774,0.649482402,0.498126113,0.58370392,0.597344599,0.712613855,0.656948384,0.612386079,0.691712482,0.576440341,0.620548287,0.686848539,0.605562415,0.51611279,0.674461089,0.686054472,0.638080776,0.576166251,0.664838513,0.650919704,0.557438001,0.697379197,0.664028551,0.713483551,0.707738648,0.732913072,0.828548157,0.721247712,0.629267432,0.689344476,0.693799832,0.674788686,0.782079294,0.568267067,0.455897436,0.478998923,0.447236051,0.487039141,0.512951093,0.498423306,0.490190496,0.500027083,0.559443525,0.511328843,0.507637483,0.483013106,0.5051885,0.480208764,0.55838317,0.518107106,0.537380342,0.513189601,0.551747949,0.470531746,0.476115101,0.498398861,0.447203242,0.495793704,0.62848707,0.4893361,0.500681504,0.63857349,0.492849259,0.5490235,0.513150927,0.460512821,0.467856927,0.476039464,0.502622498,0.520519067,0.43651258,0.504828002,0.538538302,0.493798735,0.353827265,0.596280459,0.483370867,0.535302181,0.434628748,0.487839799,0.497295353,0.522027206,0.474267762,0.491341645,0.514266702,0.493209715,0.466435892,0.512440404,0.595754846,0.496065067,0.512924741,0.518742038,0.54136253,0.544831331,0.500953325,0.535110327,0.664011491,0.508857864,0.528309014,0.450738916
