,Gli2_Gli3,Gli2_Gli1_Gli3,Gli3,Gli1_Gli3,Gli2_Gli1,Gli2,Gli1
Ncor2,0.19514708096622013,0.23209385100957225,0.12298753846975184,0.08506900499247629,0.3448776688265459,0.31132263058776444,0.03484122985562834
Nedd9,0.042973125679570505,0.0692547515447174,0.0007752883516921118,0.1157981142256008,0.0683687046287154,0.04391128875882777,0.11553751154851767
Col6a2,0.014084445709787393,0.05746795097226969,0.03404363005204133,0.008454932305782002,0.08036983233196258,0.03635727481285966,0.04362872834440791
Khsrp,0.05657647636986981,0.02228879285328334,0.00918355825147941,0.02461841198916631,0.011423231356308981,0.04539610029338147,0.034719427242304444
Prf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rela,0.0445848189540716,0.04195656876315251,0.06265954808619893,0.060692031513787006,0.02062222192442543,0.01772233737624501,0.0024740795059459276
Lox,0.002011750172481602,0.002483992027657904,0.0020306398948599057,0.0024367678484785962,0.0009917078261486862,0.0004061279726336586,0.0006044695315250733
Col1a1,0.02292040826684051,0.016908215799640483,0.010060517245744503,0.0037468535876182133,0.007364505566576196,0.013066614057383812,0.005788242703901338
Hmox1,0.06474122491228983,0.3203293945239238,0.032639584324728105,0.2888758686288431,0.2839954922535155,0.027966602284869482,0.2558927821078638
Ncl,0.00021737990103785343,0.0025650827921293454,0.0027172487173852985,6.521397031135602e-05,0.00591273333011179,0.0030759255021275862,0.002978104693453491
Col4a1,0.14432085586996737,0.16049098759616615,1.024909697147024,1.0114128150373527,1.1639014385403863,1.1460594191691513,0.014019342250807632
Col6a3,0.02575830434052967,0.07055574618905619,0.1976562886989759,0.29291460009444614,0.12206340500252326,0.2184490298556079,0.09582196812427743
Mylk,0.285879213684917,0.4870478795388122,0.17930252782939474,0.009439171449178423,0.6840436589053853,0.47703283995295875,0.19460883844858012
Il7r,0.0,0.006165226599250999,0.0,0.0053968781973172866,0.005667336836909972,0.0,0.0048989886989787195
Smarcc1,0.007069239785584515,0.00027996989540502733,0.009653128797446491,0.0018314696549714365,0.008095796297068275,0.0020064509007599344,0.006730942775631131
Tacr1,0.27949322962344597,0.27786507560279056,1.2130427380483897,1.1929031933569332,0.9464508217402878,0.9390179472713062,0.02125444023246245
Slit1,0.9627523001395959,0.9192173505211558,0.5349168934518637,0.5013954557546326,0.39555603922676413,0.43576336952120154,0.033766792781361576
Gp1ba,0.08008489346030155,0.12317733054408231,0.025265595640381167,0.015400940426504658,0.14067199261579832,0.09942162851261621,0.03870367161919049
Tcf7,0.015258385773406498,0.004714121658787014,0.02023474108464188,0.0019759059418258972,0.024826893736003247,0.004769007753054729,0.019929817338292494
Plcb1,4.6698476131316315,5.136499233785327,3.314550579365832,3.76821387082031,1.8098880251188234,1.3501522524447414,0.4471691445421885
E2f3,0.08953252653765473,0.07253497748337154,0.023562223600711477,0.007197117179315299,0.043114064488160846,0.06251392134140238,0.01758096882468378
Lta,0.41532947881512267,0.5671634179633915,0.22151908246420218,0.3509665797273199,0.3244456153664791,0.17879088362937184,0.14373782851163408
Slc4a4,2.381037496733205,3.046043042886828,0.942470298252549,1.616817165072907,2.1009037847475636,1.416472995169037,0.7010826135481896
Lama3,3.0336259252804214,1.862080781480741,2.728963424668271,1.5686679117403863,0.7209135175172328,0.44633396175136253,1.161538475458389
Cdh11,2.035024143305142,1.4597104758966213,0.3464800859152917,0.23346366933694315,1.1669945890097306,1.732675650761075,0.5740832796000614
Stab1,0.013478638157172337,0.026045810896946124,0.12200376687376835,0.13505153668446154,0.09115205051285342,0.10476326474354881,0.014307242879873828
Kcnmb2,20.40168350077119,19.967051685277927,13.645740905941583,13.171683320664787,6.161042219969209,6.592254563983915,0.4897331221572475
Id2,0.09655285458852701,0.12008023342657008,0.02838213689943465,0.051201401484153565,0.09284001970194916,0.06976557805762841,0.02267891623867443
Ccl5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ddit3,0.10927495700068435,0.07542200703047404,0.006526712229647619,0.041039326619900805,0.07662140161084147,0.11058429601438224,0.03356309341529013
Smad7,0.010494212270228325,0.015541117848987554,0.015033634252747063,0.010168304678438073,0.03153385071575895,0.026738359207870356,0.004879296562699849
Emp1,0.39232613905179764,0.31699796183113177,0.13290002192250094,0.05589087014464154,0.1633353602855608,0.24629388456166973,0.08583855414060756
Id1,0.06219085509926796,0.06534415031679529,0.02769984467707129,0.03088930506360902,0.03707295052312891,0.033644823706388896,0.0031749952896412002
Gna14,1.2878872495795277,1.3387220199697685,0.5011277256179344,0.5523559132230526,0.8317062868578483,0.7848813949032382,0.04615232632901152
Dcn,0.1976799797947023,0.3102545824316817,0.026536861646180385,0.08340629761422745,0.3433179782048563,0.22955071797792537,0.1104543041260656
Ppard,0.23441103032051444,0.2590027705233505,0.02417494006184224,0.04851407765038904,0.23086183697588186,0.20450180430590137,0.027768341247918583
Adam12,4.99457889173573,5.34180574622398,1.3280460163041556,1.6803415180598869,4.1074054926257615,3.7424560741562494,0.35722040235316566
Mep1a,0.29011964864830425,0.2552230580625323,0.07518590567684212,0.10808041345677956,0.33818050018834656,0.36886302361723944,0.028481303593048107
Msx1,0.0011731357271899468,0.0012793455626449457,0.0007241578570900479,0.005122209852561288,0.0005551876861159337,0.0010572704933822963,0.0036207892206536925
Myl9,0.10584471891133751,0.11002813230984208,0.045025622977266665,0.047794440800879405,0.05996515877100011,0.05662705182075667,0.002699812335496897
Calcrl,0.37670941164178945,0.13042115161567025,2.6262834591888917,2.902626507816874,2.7311855646103385,2.9852737722281715,0.27231597041915045
Hmgb2,0.1002308343572531,0.12089903572551731,0.04838387824664475,0.06857783224867288,0.0670723833869428,0.047666998717414207,0.018159118945196232
Cxcl10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2f4,0.04142281319278858,0.049035454925078194,0.0079603702738424,0.014738454602881944,0.03695580422035265,0.02980324128819407,0.0067406360379119925
Irf1,0.05796995046698573,0.020797128927974876,0.0698387673809862,0.008358723154486743,0.08381506288396857,0.007169705096339381,0.07668807422859587
Tgif1,0.0026982189336926996,0.0026982189336926996,0.0020671101659777143,0.0020671101659777143,0.00022866262430834948,0.00022866262430834948,0.0
Ahr,0.2530011263006053,0.2049132002304458,0.2351530877142169,0.1817409027985503,0.06294873213713167,0.014370779929968259,0.05659731622992216
Il18rap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ptpre,2.2937722637004563,2.1620640189081604,0.6593547188878587,0.5173599497500223,1.5552986136900748,1.6862394408975072,0.13858121761796438
Sparc,0.25194814143682587,0.19666618214539489,0.1983607155407139,0.14462229239961766,0.0031877303563685854,0.057186204452138734,0.053285429154301706
Dab2,0.3146652331681681,0.201761438797992,0.43563229992208025,0.32939103168807404,0.2419251671121041,0.13232568841642303,0.10313448442652155
Cebpg,0.01723518561118938,0.008395031170712,0.013157853741810254,0.003997210039282233,0.0030535479008426732,0.005546240153191839,0.008697715233126374
Mxd1,0.16171635026626496,0.20043569885674234,0.023391429590168784,0.014788281928660224,0.21930244272477156,0.18096705806101124,0.03808631215872014
Mest,0.2623696809907028,0.21944667586275524,0.1285746051826042,0.07724473085694275,0.08078520244400596,0.1289217063578565,0.0556200923711676
Rara,0.1297416372831029,0.12413025424515171,0.02314839666264576,0.02621334207107729,0.14633382048189045,0.15093123472827935,0.002915153993071665
Nfyb,0.005421541437243253,0.006586988453212177,0.04135861561903001,0.03975059412523268,0.0430182730047087,0.04194871517030699,0.001998962926060769
Tcf19,0.532616208924658,0.5619494865538284,0.2300110293225618,0.26140343937374727,0.30732353020318326,0.2751921017917168,0.03302835756179012
Prrx1,0.028158197619623272,0.014453930690818859,0.144949191508706,0.13595324011807783,0.12653121837589454,0.11532942274199362,0.0057923587474718805
Nabp1,0.015752711611721096,0.021395474424926713,0.004162408106333404,0.0010449560213279475,0.024974448638000423,0.01870471315285268,0.005773382071161745
Itgb3,0.3530297833605891,0.31204151967268473,0.39856290442585085,0.44351732267541116,0.7197646580764875,0.7613598606854619,0.04444629811966103
Dpyd,4.774567581317928,4.489200600773052,4.862644535917739,4.597053605137534,0.3321913788474475,0.06084550830638197,0.25379326038315575
Cd44,0.5540663514340829,0.5037482405515814,0.31178784521788144,0.26020648542115415,0.17963592582010052,0.22744383051606032,0.05271501462280828
Pura,0.10542058277238986,0.10653471398485578,0.00750686264633602,0.009940644140997825,0.0945821411805002,0.09465786198952038,0.0009194284678628817
Atf6,0.08686898610343387,0.08058674155382735,0.03348018407992839,0.02723904497353634,0.04732578650437601,0.053361398394695836,0.006001359078384769
Col12a1,1.389012949266408,1.4623575402443723,0.8375306761011941,0.907172506424023,0.6512448362244966,0.5753158789637036,0.07263425283836816
Hoxc10,0.059548461763394754,0.05339654369138065,0.017331771282109817,0.01136718445337468,0.035158095457438046,0.04167717937700154,0.006346740422840008
Rasgrp1,0.6813676709172988,0.6592586897313106,0.09490024575756145,0.07635030567568392,0.5387909393029714,0.5601956641712246,0.017556420050218294
Slit3,1.317382587313869,3.5486251982982804,2.8187623412537883,2.0498489342539314,6.391047740732408,1.569986237787851,4.838442702860955
Slit2,0.7895801196834279,0.8003915000736394,0.6596120462455525,0.6392366790174177,1.5275749571728665,1.516301441007077,0.020537075507530596
Nfkb1,0.05670321348226713,0.05456189937090987,0.022079717980914175,0.02073827066908857,0.03254883614119775,0.037914625388500205,0.004970019410577024
Gpx3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd2,0.008907278150046926,0.04629119159120912,0.008973916315167474,0.04445864652239399,0.030675689373693426,6.663799220321722e-05,0.028987527294106138
Smad3,0.005658713679383284,0.03337658131239237,0.02468490975181345,0.0030750825514204725,0.055239154413942934,0.030519142772678465,0.023477342939339653
Scg2,0.8741526627026831,0.836261703125194,0.15163495702607654,0.11575024229825746,0.6686764260744436,0.7024979780628171,0.03145959324448586
Eln,1.400105514504429,1.6048743567010355,1.4356992736170564,1.6419506699407973,0.147787068948281,0.056909823637972826,0.20445222141162064
Adcy2,0.26302315906513046,0.7785058354725092,0.386094953286371,0.12009174079159456,1.196247183004,0.6742928966927347,0.5145486276938691
Matn2,0.8597796980773257,0.694113623623718,0.5652816213858319,0.40827066470706985,0.18847280049624723,0.3577824498693412,0.1689614651477371
Tfrc,0.007581971748525646,0.011737403142187642,0.0040126589156463536,0.007844973794511604,0.007814916244931837,0.0034716263010240523,0.003824800365400561
Rbpj,0.02730855001473188,0.023620580436063642,0.010251683117265762,0.006695424830583382,0.014817742707719508,0.017270902695934003,0.002535480443429582
Lcp2,0.3936989713057394,0.329410716607478,0.0316329901054327,0.03729510642445763,0.2860107536806056,0.3532362536847025,0.06677915377107761
Mapk10,1.8559387385313475,1.1187193859611362,1.6762151212005811,0.9389508392331032,0.5654230893962195,0.17547923042064936,0.7395549276952246
Pde4b,8.567370112603239,7.238848104880459,3.2611141045986565,1.9026086971755465,4.15368209812972,5.453861653157599,1.3300136070902027
Itpr2,0.25269587346072697,0.45833740650861843,0.18366567894861846,0.03761777887781286,0.6106315776389166,0.40733897762692556,0.220804332423334
Lef1,0.009594044991225306,0.017936048196829972,0.06040173620512608,0.03144920616091006,0.07652269950533776,0.04829620093387921,0.02873027558276467
Hif1a,0.002924404587012852,0.0008706243013854036,0.0006027398707086642,0.0014845260319552335,0.0003683410383418979,0.0020314565471786414,0.0025114161279527676
Hes1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbln5,0.16644883655692871,0.08376207702022315,0.00534095379893383,0.0884911098554928,0.0904694582538538,0.17633464599138535,0.08573448648214181
Nrp2,2.4897722665154047,2.250374478723516,1.735515078939905,1.5030796541980485,0.5944498786751962,0.8228532652653916,0.222818517001229
Tpm1,0.005002530627834108,0.008056611926609968,0.0034347084638888348,0.0008428176634295389,0.011527570828386822,0.008337550995708697,0.0027731419255882296
Abca1,0.14199452447159117,0.16091141344983137,0.21146866536253914,0.22948095706544205,0.05341834962739752,0.07065224634456524,0.01712870964790816
Stat2,0.001075199661907988,0.0243175997355335,0.0017786012862514224,0.024679349624017115,0.018831066897067265,0.0045419650151711,0.023825218177024474
F2,0.2421517286351917,0.3120090878052541,0.05708879914205154,0.016321391065489736,0.3471316372609214,0.27342387008485686,0.07546614517807623
Il1b,0.4058656489955363,0.35035144068314045,0.1556502558707589,0.0984757135827816,0.1790163448405791,0.2371578934651656,0.058792286099849184
Klf6,0.15811891782643359,0.1409342412196149,0.04247673859894693,0.02518015183435075,0.09911653740374543,0.11566704657520711,0.01714737266457636
Wnt6,0.24256161025236425,0.15935849871257282,0.050108602532554024,0.13517911100390806,0.2050752449795093,0.2907682240455988,0.08982200480096864
Abi3bp,0.5679743617291814,0.7383250955110485,0.45272197483408494,0.6317642701883839,0.215626421646935,0.03777877254601808,0.18037546467739185
Anxa1,0.12097970360203877,0.14614765602285112,0.03039007158160747,0.06518445900710788,0.12301799050326655,0.09561510662668218,0.0335895189042308
Satb1,0.05260644969121574,0.05216293360541428,0.03175451676182059,0.031648601544415525,0.019580959205293808,0.019819266223265342,0.0001323932332339314
Camk4,1.719123493599755,2.859284800278851,0.05547259357533573,1.179526488713619,2.7734289373680605,1.6382102720228215,1.1231757809547573
Ccnd2,0.241370431277089,0.2708480022641205,0.06413115757423647,0.09501281303836318,0.19549244159950008,0.16727771936921654,0.02845565719695275
Preb,0.032486676101291745,0.029954830657082925,0.006003785679156791,0.0037603782668106235,0.028277618144303882,0.03135428988674148,0.0027455034978370618
Edil3,3.538662882887774,2.796621400994285,1.7349764615602368,0.9917491985132075,1.0173096003027797,1.7579676017731594,0.7423049427649562
Hgf,0.20872168025228618,0.23470783147228627,0.016244158006448236,0.044669184809681343,0.21196151350452935,0.1928870089717753,0.024042253684448033
Tcf7l2,4.261010649611684,4.567257096631592,1.1451830488302572,1.4471279795651868,3.3601880674940863,3.057800175432242,0.2949159304382137
Arid4a,0.023129448868187626,0.02666511858430142,0.007438682869513,0.01095467396422422,0.019337951571177958,0.014641216779532692,0.004158840184028841
Aqp9,0.00640873638256611,0.02025098276763452,0.04960008283287308,0.076998471529621,0.008250207780369449,0.034353324094926585,0.026592094738911682
P2rx7,0.10458080746178333,0.1111855468365498,0.020632607274950983,0.012183612337091703,0.1316510210472783,0.13091908120693552,0.002386005412359501
Fbn1,1.8514088923528664,1.9837460501592024,1.719215868239957,1.8507319183387407,0.2777250367040655,0.14229086537009178,0.1364569067082344
Sla,0.08478532563634943,0.046623075609359715,0.002987079413213266,0.035229060330129125,0.03748476714375204,0.07635529642133895,0.03932474779713597
Csf1,0.06796984351422641,0.06040958881616006,0.020996014953023792,0.01408792195795005,0.039178069168595474,0.04617070288191945,0.0074757168164946205
Ets2,0.10871934356698511,0.10161220443831254,0.07587552889447494,0.06956909557253659,0.018370266560768362,0.024867347534077485,0.005620127364544675
Snai2,0.042826485288811854,0.03268164159478899,0.01604514863999767,0.005348382997582811,0.016951876824515103,0.027214989028745938,0.010059427567358815
Smad1,0.3105176199152221,0.2603640012017775,0.14156125531951433,0.0889393006621478,0.11417745639871292,0.1628025168637133,0.05108773173311118
Foxc2,0.007152782347122211,0.007037752204420182,0.044401628907350915,0.044375486331079045,0.020041385160740492,0.019936812048547213,4.705777697432173e-05
Tgfb1,0.048470951722823105,0.05287198699042199,0.031911575905891845,0.03710295960343514,0.014172096164043212,0.009273033156492314,0.004059996957146775
Fn1,0.01834804527946396,0.020547366392714324,0.014994757908292664,0.015761804728154895,0.006781241807452267,0.004283246739551064,0.0010657206834056763
Lyn,0.36457443942362217,0.39486429909511717,0.08201515381411338,0.09934825863955282,0.36314175377216656,0.3360147494770308,0.01976787604924843
Meis2,0.7522875917289663,0.842045521654802,0.17011422962083578,0.07950268147815409,1.0101198190368441,0.9295084429477334,0.08480212304806387
Marco,0.022868260994508345,0.016116040474238272,0.011450871730516236,0.004374991761204104,0.005848203211488631,0.00897319736943336,0.003593743296616066
