pathway,p_value_pred,p_value_real,neg_log10_p_pred,neg_log10_p_real,cell_type
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.4857478443133191e-06,0.03614815442096284,5.8280548911915835,1.4419138711288617,Limb#mesenchyme#trajectory
REACTOME_SIGNALING_BY_WNT,0.03364644899148665,0.0006150884152155159,1.4730607639743232,3.2110624525492564,Limb#mesenchyme#trajectory
REACTOME_SIGNALING_BY_HEDGEHOG,0.04843182067588618,0.004841143382937264,1.3148692044073502,2.315052054418335,Limb#mesenchyme#trajectory
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0838367943837928,0.39008417134909773,1.076565335895243,0.40884167192663956,Limb#mesenchyme#trajectory
HALLMARK_G2M_CHECKPOINT,0.4360145717426913,0.4360145717426913,0.36049899623211956,0.36049899623211956,Limb#mesenchyme#trajectory
HALLMARK_TGF_BETA_SIGNALING,1.0,1.0,-0.0,-0.0,Limb#mesenchyme#trajectory
HALLMARK_NOTCH_SIGNALING,1.0,0.14433231326972928,-0.0,0.8406364277165965,Limb#mesenchyme#trajectory
HALLMARK_APOPTOSIS,1.0,1.0,-0.0,-0.0,Limb#mesenchyme#trajectory
HALLMARK_INFLAMMATORY_RESPONSE,1.0,1.0,-0.0,-0.0,Limb#mesenchyme#trajectory
REACTOME_SIGNALING_BY_WNT,0.005182634141249466,0.5178481152038281,2.2854494483174577,0.2857976001029281,Myotube#trajectory
HALLMARK_INFLAMMATORY_RESPONSE,0.06325904664659315,1.0,1.1988773574605074,-0.0,Myotube#trajectory
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.28048489952145833,0.11175709773584633,0.5520905149106174,0.9517248851121388,Myotube#trajectory
REACTOME_SIGNALING_BY_HEDGEHOG,0.3051663458356008,1.0,0.5154633626692812,-0.0,Myotube#trajectory
HALLMARK_TGF_BETA_SIGNALING,1.0,1.0,-0.0,-0.0,Myotube#trajectory
HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.0,1.0,-0.0,-0.0,Myotube#trajectory
HALLMARK_NOTCH_SIGNALING,1.0,1.0,-0.0,-0.0,Myotube#trajectory
HALLMARK_APOPTOSIS,1.0,0.6089441179023164,-0.0,0.21542256024103154,Myotube#trajectory
HALLMARK_G2M_CHECKPOINT,1.0,0.4360145717426913,-0.0,0.36049899623211956,Myotube#trajectory
REACTOME_SIGNALING_BY_HEDGEHOG,0.004841143382937264,0.004841143382937264,2.315052054418335,2.315052054418335,Osteoblast#trajectory
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.00971842580197703,1.1135826042478544e-05,2.0124040767282665,4.953277561981155,Osteoblast#trajectory
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0838367943837928,0.0838367943837928,1.076565335895243,1.076565335895243,Osteoblast#trajectory
REACTOME_SIGNALING_BY_WNT,0.16022552515633642,5.8135498952894475e-05,0.7952682962948379,4.235558595812781,Osteoblast#trajectory
HALLMARK_APOPTOSIS,0.6089441179023164,0.6089441179023164,0.21542256024103154,0.21542256024103154,Osteoblast#trajectory
HALLMARK_INFLAMMATORY_RESPONSE,0.7863485323066784,1.0,0.10438491947230978,-0.0,Osteoblast#trajectory
HALLMARK_TGF_BETA_SIGNALING,1.0,0.35742601750154246,-0.0,0.44681383782338224,Osteoblast#trajectory
HALLMARK_NOTCH_SIGNALING,1.0,0.14433231326972928,-0.0,0.8406364277165965,Osteoblast#trajectory
HALLMARK_G2M_CHECKPOINT,1.0,0.4360145717426913,-0.0,0.36049899623211956,Osteoblast#trajectory
HALLMARK_G2M_CHECKPOINT,0.0020829323175411674,0.10785589886089351,2.681324841716177,0.9671560974536191,Intermediate#mesoderm#trajectory
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.11175709773584633,0.0022137317147248644,0.9517248851121388,2.654875013030277,Intermediate#mesoderm#trajectory
REACTOME_SIGNALING_BY_WNT,0.16022552515633642,5.8135498952894475e-05,0.7952682962948379,4.235558595812781,Intermediate#mesoderm#trajectory
REACTOME_SIGNALING_BY_HEDGEHOG,0.3051663458356008,0.3051663458356008,0.5154633626692812,0.5154633626692812,Intermediate#mesoderm#trajectory
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.39008417134909773,0.0838367943837928,0.40884167192663956,1.076565335895243,Intermediate#mesoderm#trajectory
HALLMARK_INFLAMMATORY_RESPONSE,0.44966486259765137,0.7863485323066784,0.34711104744684645,0.10438491947230978,Intermediate#mesoderm#trajectory
HALLMARK_TGF_BETA_SIGNALING,1.0,1.0,-0.0,-0.0,Intermediate#mesoderm#trajectory
HALLMARK_NOTCH_SIGNALING,1.0,0.14433231326972928,-0.0,0.8406364277165965,Intermediate#mesoderm#trajectory
HALLMARK_APOPTOSIS,1.0,0.6089441179023164,-0.0,0.21542256024103154,Intermediate#mesoderm#trajectory
REACTOME_SIGNALING_BY_WNT,0.005182634141249466,0.03364644899148665,2.2854494483174577,1.4730607639743232,Myoblast#trajectory
HALLMARK_INFLAMMATORY_RESPONSE,0.06325904664659315,0.44966486259765137,1.1988773574605074,0.34711104744684645,Myoblast#trajectory
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.28048489952145833,0.03614815442096284,0.5520905149106174,1.4419138711288617,Myoblast#trajectory
REACTOME_SIGNALING_BY_HEDGEHOG,0.3051663458356008,0.04843182067588618,0.5154633626692812,1.3148692044073502,Myoblast#trajectory
HALLMARK_TGF_BETA_SIGNALING,1.0,1.0,-0.0,-0.0,Myoblast#trajectory
HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.0,0.39008417134909773,-0.0,0.40884167192663956,Myoblast#trajectory
HALLMARK_NOTCH_SIGNALING,1.0,0.14433231326972928,-0.0,0.8406364277165965,Myoblast#trajectory
HALLMARK_APOPTOSIS,1.0,1.0,-0.0,-0.0,Myoblast#trajectory
HALLMARK_G2M_CHECKPOINT,1.0,0.4360145717426913,-0.0,0.36049899623211956,Myoblast#trajectory
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.39008417134909773,0.0838367943837928,0.40884167192663956,1.076565335895243,Motor#neuron#trajectory
HALLMARK_G2M_CHECKPOINT,0.4360145717426913,0.4360145717426913,0.36049899623211956,0.36049899623211956,Motor#neuron#trajectory
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5559342657309442,0.5559342657309442,0.254976556831668,0.254976556831668,Motor#neuron#trajectory
HALLMARK_TGF_BETA_SIGNALING,1.0,1.0,-0.0,-0.0,Motor#neuron#trajectory
HALLMARK_NOTCH_SIGNALING,1.0,0.14433231326972928,-0.0,0.8406364277165965,Motor#neuron#trajectory
HALLMARK_APOPTOSIS,1.0,1.0,-0.0,-0.0,Motor#neuron#trajectory
HALLMARK_INFLAMMATORY_RESPONSE,1.0,1.0,-0.0,-0.0,Motor#neuron#trajectory
REACTOME_SIGNALING_BY_HEDGEHOG,1.0,0.3051663458356008,-0.0,0.5154633626692812,Motor#neuron#trajectory
REACTOME_SIGNALING_BY_WNT,1.0,0.5178481152038281,-0.0,0.2857976001029281,Motor#neuron#trajectory
REACTOME_SIGNALING_BY_HEDGEHOG,0.004841143382937264,0.04245837364014053,2.315052054418335,1.3720366454182558,Chondrocyte#trajectory
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.03614815442096284,0.0002632617686517717,1.4419138711288617,3.5796122053417854,Chondrocyte#trajectory
REACTOME_SIGNALING_BY_WNT,0.16022552515633642,0.027915536930585263,0.7952682962948379,1.5541540144641781,Chondrocyte#trajectory
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.39008417134909773,0.36833871360567333,0.40884167192663956,0.43375263297313127,Chondrocyte#trajectory
HALLMARK_G2M_CHECKPOINT,0.4360145717426913,0.41265742668119804,0.36049899623211956,0.3844103343965371,Chondrocyte#trajectory
HALLMARK_INFLAMMATORY_RESPONSE,0.7863485323066784,1.0,0.10438491947230978,-0.0,Chondrocyte#trajectory
HALLMARK_TGF_BETA_SIGNALING,1.0,1.0,-0.0,-0.0,Chondrocyte#trajectory
HALLMARK_NOTCH_SIGNALING,1.0,1.0,-0.0,-0.0,Chondrocyte#trajectory
HALLMARK_APOPTOSIS,1.0,0.5820437085353352,-0.0,0.23504440080896005,Chondrocyte#trajectory
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.28048489952145833,0.43090696871650735,0.5520905149106174,0.3656164823547685,Spinal#cord#dorsal#trajectory
REACTOME_SIGNALING_BY_WNT,0.5178481152038281,1.0,0.2857976001029281,-0.0,Spinal#cord#dorsal#trajectory
HALLMARK_TGF_BETA_SIGNALING,1.0,1.0,-0.0,-0.0,Spinal#cord#dorsal#trajectory
HALLMARK_PI3K_AKT_MTOR_SIGNALING,1.0,1.0,-0.0,-0.0,Spinal#cord#dorsal#trajectory
HALLMARK_NOTCH_SIGNALING,1.0,1.0,-0.0,-0.0,Spinal#cord#dorsal#trajectory
HALLMARK_APOPTOSIS,1.0,1.0,-0.0,-0.0,Spinal#cord#dorsal#trajectory
HALLMARK_INFLAMMATORY_RESPONSE,1.0,0.7035649711255629,-0.0,0.15269579119521204,Spinal#cord#dorsal#trajectory
REACTOME_SIGNALING_BY_HEDGEHOG,1.0,1.0,-0.0,-0.0,Spinal#cord#dorsal#trajectory
HALLMARK_G2M_CHECKPOINT,1.0,0.07201895137447258,-0.0,1.1425532064248227,Spinal#cord#dorsal#trajectory
